trait	trait_uri	studies	association_counts	papers	Olga's comments
smoking behavior, lung adenocarcinoma	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0000571	1	0	1	
neuroendocrine neoplasm	http://www.ebi.ac.uk/efo/EFO_1001901	1	0	1	
chronic myeloproliferative disorder	http://www.ebi.ac.uk/efo/EFO_0002428	1	0	1	
quadriplegia, paraplegia	http://www.ebi.ac.uk/efo/EFO_0009684, http://www.ebi.ac.uk/efo/EFO_0009679	1	0	1	
cannabis dependence, schizophrenia, substance abuse	http://www.ebi.ac.uk/efo/EFO_0007191, http://purl.obolibrary.org/obo/MONDO_0005090, http://purl.obolibrary.org/obo/MONDO_0002491	1	0	1	
birth weight, coronary artery disease	http://www.ebi.ac.uk/efo/EFO_0004344, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
rheumatoid arthritis, bone density	http://www.ebi.ac.uk/efo/EFO_0000685, http://www.ebi.ac.uk/efo/EFO_0003923	1	0	1	
epilepsy with generalized tonic-clonic seizures	http://www.ebi.ac.uk/efo/EFO_0007262	1	0	1	
autism spectrum disorder, genetic variation	http://www.ebi.ac.uk/efo/EFO_0003756, http://www.ebi.ac.uk/efo/EFO_0004828	1	0	1	
male reproductive organ cancer	http://www.ebi.ac.uk/efo/EFO_0007355	1	0	1	
infectious disorder of the nervous system	http://purl.obolibrary.org/obo/MONDO_0020010	1	0	1	
internalizing disorder	http://www.ebi.ac.uk/efo/EFO_0020971	1	0	1	
progression free survival, response to gemcitabine	http://www.ebi.ac.uk/efo/EFO_0004920, http://purl.obolibrary.org/obo/GO_0036272	1	0	1	
severe malarial anemia	http://www.ebi.ac.uk/efo/EFO_0010970	1	0	1	
Bruising susceptibility	http://purl.obolibrary.org/obo/HP_0000978	1	0	1	
hypermobility syndrome	http://purl.obolibrary.org/obo/MONDO_0001798	1	0	1	
Fasciitis	http://purl.obolibrary.org/obo/HP_0100537	1	0	1	
Dental malocclusion	http://purl.obolibrary.org/obo/HP_0000689	1	0	1	
alcoholic liver cirrhosis, alcoholic pancreatitis	http://www.ebi.ac.uk/efo/EFO_1000802, http://www.ebi.ac.uk/efo/EFO_1002013	1	0	1	
Eczema, dermatitis	http://purl.obolibrary.org/obo/HP_0000964, http://purl.obolibrary.org/obo/MONDO_0002406	1	0	1	
benign colon neoplasm	http://purl.obolibrary.org/obo/MONDO_0002278	1	0	1	
Cerebral arteriovenous malformation	http://www.orpha.net/ORDO/Orphanet_46724	1	0	1	
peripheral vertigo, central nervous system origin vertigo	http://purl.obolibrary.org/obo/MONDO_0004900, http://purl.obolibrary.org/obo/MONDO_0002317	1	0	1	
birth weight, type 2 diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0004344, http://purl.obolibrary.org/obo/MONDO_0005148	1	0	1	
nonischemic cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0009881	1	0	1	
pneumococcal infection	http://www.ebi.ac.uk/efo/EFO_0000772	1	0	1	
Paranoia	http://purl.obolibrary.org/obo/HP_0011999	1	0	1	
Paroxysmal ventricular tachycardia	http://purl.obolibrary.org/obo/HP_0004751	1	0	1	
body mass index, birth weight	http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004344	1	0	1	
coffee consumption, Parkinson disease	http://www.ebi.ac.uk/efo/EFO_0004330, http://purl.obolibrary.org/obo/MONDO_0005180	1	0	1	
attention deficit hyperactivity disorder, nucleus accumbens volume	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0006931	1	0	1	
response to radiation, Dysphagia, fibrosis, xerostomia, Atrophy, mucositis	http://purl.obolibrary.org/obo/GO_0009314, http://purl.obolibrary.org/obo/HP_0002015, http://www.ebi.ac.uk/efo/EFO_0006890, http://www.ebi.ac.uk/efo/EFO_0009869, http://www.ebi.ac.uk/efo/EFO_1000096, http://www.ebi.ac.uk/efo/EFO_1001898	1	0	1	
altitude sickness	http://www.ebi.ac.uk/efo/EFO_1000782	1	0	1	
sialolithiasis	http://www.ebi.ac.uk/efo/EFO_1001180	1	0	1	
enteritis	http://purl.obolibrary.org/obo/MONDO_0043579	1	0	1	
balanoposthitis	http://purl.obolibrary.org/obo/MONDO_0001618	1	0	1	
Abnormal male internal genitalia morphology	http://purl.obolibrary.org/obo/HP_0000022	1	0	1	
facial neural processing	http://www.ebi.ac.uk/efo/EFO_0004914	1	0	1	
breast adenosis	http://www.ebi.ac.uk/efo/EFO_0006891	1	0	1	
response to anthracycline-based chemotherapy, cardiomyopathy	http://www.ebi.ac.uk/efo/EFO_0005257, http://www.ebi.ac.uk/efo/EFO_0000318	1	0	1	
heart valve disease, Heart murmur	http://www.ebi.ac.uk/efo/EFO_0009551, http://purl.obolibrary.org/obo/HP_0030148	1	0	1	
type 1 diabetes mellitus, type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005147, http://purl.obolibrary.org/obo/MONDO_0005148	1	0	1	
attention deficit hyperactivity disorder, thalamus volume	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0006935	1	0	1	
microscopic colitis, response to proton-pump inhibitor	http://www.ebi.ac.uk/efo/EFO_1001295, http://www.ebi.ac.uk/efo/EFO_0010235	1	0	1	
Rare dyslipidemia	http://www.orpha.net/ORDO/Orphanet_101953	1	0	1	
smoking behavior, adult onset asthma	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_1002011	1	0	1	
gastric cancer	http://purl.obolibrary.org/obo/MONDO_0001056	1	0	1	
ganglion or cyst of synovium/tendon/bursa	http://purl.obolibrary.org/obo/MONDO_0004874	1	0	1	
peptic esophagitis	http://www.ebi.ac.uk/efo/EFO_1001095	1	0	1	
migraine disorder, coronary artery disease	http://purl.obolibrary.org/obo/MONDO_0005277, http://www.ebi.ac.uk/efo/EFO_0001645	1	0	1	
Abnormality of the vasculature	http://purl.obolibrary.org/obo/HP_0002597	1	0	1	
cochlear implant	http://www.ebi.ac.uk/efo/EFO_0009728	1	0	1	
response to bevacizumab, congestive heart failure, response to anthracycline-based chemotherapy	http://www.ebi.ac.uk/efo/EFO_0005943, http://www.ebi.ac.uk/efo/EFO_0000373, http://www.ebi.ac.uk/efo/EFO_0005257	1	0	1	
Cerebral ischemia	http://purl.obolibrary.org/obo/HP_0002637	1	0	1	
nontoxic goiter, multinodular goiter	http://purl.obolibrary.org/obo/MONDO_0001658, http://purl.obolibrary.org/obo/MONDO_0000334	1	0	1	
survival time, gastric carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000178	1	0	1	
knee fracture	http://www.ebi.ac.uk/efo/EFO_0009617	1	0	1	
testis size	http://www.ebi.ac.uk/efo/EFO_0010744	1	0	1	
breast carcinoma in situ	http://purl.obolibrary.org/obo/MONDO_0004658	1	0	1	
parental longevity, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0007796, http://www.ebi.ac.uk/efo/EFO_0000289	1	0	1	
response to radiation, myelosuppression	http://purl.obolibrary.org/obo/GO_0009314, http://www.ebi.ac.uk/efo/EFO_0007053	1	0	1	
family history of upper gastrointestinal cancer	http://www.ebi.ac.uk/efo/EFO_0008346	1	0	1	
poisoning, response to anticonvulsant	http://www.ebi.ac.uk/efo/EFO_0008546, http://purl.obolibrary.org/obo/GO_0036277	1	0	1	
breast carcinoma, spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0007701	1	0	1	
response to beta blocker, myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0007766, http://www.ebi.ac.uk/efo/EFO_0000612	1	0	1	
gingival disease, facial pain	http://www.ebi.ac.uk/efo/EFO_0009670, http://www.ebi.ac.uk/efo/EFO_0009625	1	0	1	
drug-induced liver injury, response to carbamazepine	http://www.ebi.ac.uk/efo/EFO_0004228, http://www.ebi.ac.uk/efo/EFO_0008484	1	0	1	
HSV1 seropositivity	http://www.ebi.ac.uk/efo/EFO_0007050	1	0	1	
primary thrombocytopenia	http://purl.obolibrary.org/obo/MONDO_0004680	1	0	1	
Abnormality of the immune system	http://purl.obolibrary.org/obo/HP_0002715	1	0	1	
response to trametinib, Fever, response to dabrafenib	http://www.ebi.ac.uk/efo/EFO_0007816, http://purl.obolibrary.org/obo/HP_0001945, http://www.ebi.ac.uk/efo/EFO_0007815	1	0	1	
endocrine system disease, diabetes mellitus	http://www.ebi.ac.uk/efo/EFO_0001379, http://www.ebi.ac.uk/efo/EFO_0000400	1	0	1	
minimal erythema dose	http://www.ebi.ac.uk/efo/EFO_0007639	1	0	1	
Fever, response to thiopurine	http://purl.obolibrary.org/obo/HP_0001945, http://www.ebi.ac.uk/efo/EFO_0006317	1	0	1	
nutritional deficiency disease	http://www.ebi.ac.uk/efo/EFO_1001067	1	0	1	
post-operative sign or symptom	http://www.ebi.ac.uk/efo/EFO_0005323	1	0	1	
osteoarthritis, knee, spine bone mineral density	http://www.ebi.ac.uk/efo/EFO_0004616, http://www.ebi.ac.uk/efo/EFO_0007701	1	0	1	
waist circumference, birth weight	http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0004344	1	0	1	
stroke, chronic obstructive pulmonary disease	http://www.ebi.ac.uk/efo/EFO_0000712, http://www.ebi.ac.uk/efo/EFO_0000341	1	0	1	
response to high-dose melphalan, chemotherapy-induced oral mucositis	http://www.ebi.ac.uk/efo/EFO_0006314, http://www.ebi.ac.uk/efo/EFO_0006313	1	0	1	
cardiac ablation, PR interval	http://www.ebi.ac.uk/efo/EFO_0600009, http://www.ebi.ac.uk/efo/EFO_0004462	1	0	1	
vulvar neoplasm	http://purl.obolibrary.org/obo/MONDO_0021049	1	0	1	
survival time, Candidemia	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1001282	1	0	1	
adrenocortical insufficiency	http://www.ebi.ac.uk/efo/EFO_0009491	1	0	1	
Abnormality of glycosaminoglycan metabolism	http://purl.obolibrary.org/obo/HP_0004371	1	0	1	
inborn errors of immunity	http://purl.obolibrary.org/obo/MONDO_0003778	1	0	1	
Paroxysmal supraventricular tachycardia	http://purl.obolibrary.org/obo/HP_0004763	1	0	1	
glottis neoplasm	http://purl.obolibrary.org/obo/MONDO_0002353	1	0	1	
waist-hip ratio, birth weight	http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004344	1	0	1	
Abnormal EKG	http://purl.obolibrary.org/obo/HP_0003115	1	0	1	
non-allergic rhinitis	http://www.ebi.ac.uk/efo/EFO_0009364	1	0	1	
response to diuretic, myocardial infarction	http://purl.obolibrary.org/obo/GO_0036270, http://www.ebi.ac.uk/efo/EFO_0000612	1	0	1	
physical activity	http://www.ebi.ac.uk/efo/EFO_0003940	1	0	1	
attention deficit hyperactivity disorder, pallidum volume	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0006933	1	0	1	
ankle fracture, foot fracture	http://www.ebi.ac.uk/efo/EFO_0009615, http://www.ebi.ac.uk/efo/EFO_0009618	1	0	1	
blood pressure, response to antihypertensive drug	http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0005405	1	0	1	
energy intake, body mass index	http://www.ebi.ac.uk/efo/EFO_0003939, http://www.ebi.ac.uk/efo/EFO_0004340	1	0	1	
survival time, uterine corpus cancer	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0007532	1	0	1	
attention deficit hyperactivity disorder, intelligence, self reported educational attainment	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004337, http://www.ebi.ac.uk/efo/EFO_0004784	1	0	1	
late gestational weight gain	http://www.ebi.ac.uk/efo/EFO_0008436	1	0	1	
overall survival, melanoma	http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_0000756	1	0	1	
response to doxorubicin	http://purl.obolibrary.org/obo/GO_1902520	1	0	1	
animal viral hepatitis	http://www.ebi.ac.uk/efo/EFO_0007540	1	0	1	
response to bronchodilator, age at assessment	http://purl.obolibrary.org/obo/GO_0097366, http://www.ebi.ac.uk/efo/EFO_0008007	1	0	1	
response to reverse transcriptase inhibitor, maculopapular eruption	http://purl.obolibrary.org/obo/GO_0061479, http://www.ebi.ac.uk/efo/EFO_1001253	1	0	1	
family history of uterine fibroids	http://www.ebi.ac.uk/efo/EFO_0021423	1	0	1	
age of onset of bipolar disorder	http://purl.obolibrary.org/obo/OBA_2001019	1	0	1	
response to carboplatin, overall survival, ovarian serous carcinoma, response to paclitaxel	http://purl.obolibrary.org/obo/GO_0097328, http://www.ebi.ac.uk/efo/EFO_0000638, http://www.ebi.ac.uk/efo/EFO_1001516, http://purl.obolibrary.org/obo/GO_1901555	1	0	1	
response to radioiodine	http://www.ebi.ac.uk/efo/EFO_0009962	1	0	1	
chorioamnionitis	http://www.ebi.ac.uk/efo/EFO_0009948	1	0	1	
arterial embolism	http://www.ebi.ac.uk/efo/EFO_0010671	1	0	1	
survival time, metastatic prostate cancer	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0000196	1	0	1	
methamphetamine dependence	http://www.ebi.ac.uk/efo/EFO_0004701	1	0	1	
third-degree atrioventricular block	http://purl.obolibrary.org/obo/MONDO_0000468	1	0	1	
connective and soft tissue neoplasm	http://purl.obolibrary.org/obo/MONDO_0044334	1	0	1	
human polyomavirus 6 seropositivity	http://www.ebi.ac.uk/efo/EFO_0600072	1	0	1	
osteoarthritis, spine bone mineral density	http://purl.obolibrary.org/obo/MONDO_0005178, http://www.ebi.ac.uk/efo/EFO_0007701	1	0	1	
ileostomy	http://www.ebi.ac.uk/efo/EFO_0010681	1	0	1	
Chlamydiaceae Infections	http://www.ebi.ac.uk/efo/EFO_1001288	1	0	1	
osteoarthritis, hip, femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_1000786, http://www.ebi.ac.uk/efo/EFO_0007785	1	0	1	
age at death	http://www.ebi.ac.uk/efo/EFO_0005056	1	0	1	
Lung Abscess, bronchopneumonia	http://www.ebi.ac.uk/efo/EFO_1001362, http://www.ebi.ac.uk/efo/EFO_0007184	1	0	1	
HER2 negative breast carcinoma	http://www.ebi.ac.uk/efo/EFO_0009780	1	0	1	
age of onset of cognitive disorder	http://purl.obolibrary.org/obo/OBA_2040165	1	0	1	
Pleural Mesothelioma	http://www.ebi.ac.uk/efo/EFO_1000485	1	0	1	
language impairment, dyslexia	http://www.ebi.ac.uk/efo/EFO_0005425, http://www.ebi.ac.uk/efo/EFO_0005424	1	0	1	
intrahepatic cholangiocarcinoma	http://www.ebi.ac.uk/efo/EFO_1001961	1	0	1	
Intervertebral Disc Displacement	http://www.ebi.ac.uk/efo/EFO_1001800	1	0	1	
Benign Brain Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000107	1	0	1	
shoulder fracture, clavicle fracture	http://www.ebi.ac.uk/efo/EFO_0009621, http://www.ebi.ac.uk/efo/EFO_0009614	1	0	1	
Abnormality of blood and blood-forming tissues	http://purl.obolibrary.org/obo/HP_0001871	1	0	1	
interventricular septum thickness	http://www.ebi.ac.uk/efo/EFO_0009287	1	0	1	
human herpesvirus 7 seropositivity	http://www.ebi.ac.uk/efo/EFO_0600006	1	0	1	
schizophrenia, intelligence	http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004337	1	0	1	
Pure red cell aplasia	http://purl.obolibrary.org/obo/HP_0012410	1	0	1	
age at diagnosis, schizophrenia	http://www.ebi.ac.uk/efo/EFO_0004918, http://purl.obolibrary.org/obo/MONDO_0005090	1	0	1	
dead	http://purl.obolibrary.org/obo/PATO_0001422	1	0	1	
Odontogenic Cyst	http://www.ebi.ac.uk/efo/EFO_1000406	1	0	1	
attention deficit hyperactivity disorder, self reported educational attainment	http://www.ebi.ac.uk/efo/EFO_0003888, http://www.ebi.ac.uk/efo/EFO_0004784	1	0	1	
lactose intolerance	http://www.ebi.ac.uk/efo/EFO_1000062	1	0	1	
connective tissue neoplasm	http://purl.obolibrary.org/obo/MONDO_0021581	1	0	1	
unipolar depression, Chronic pain	http://www.ebi.ac.uk/efo/EFO_0003761, http://purl.obolibrary.org/obo/HP_0012532	1	0	1	
gender identity disorder	http://www.ebi.ac.uk/efo/EFO_0008587	1	0	1	
optic neuritis	http://www.ebi.ac.uk/efo/EFO_0007405	1	0	1	
sialadenitis	http://www.ebi.ac.uk/efo/EFO_1001179	1	0	1	
chronic inflammatory demyelinating polyneuropathy	http://www.ebi.ac.uk/efo/EFO_0009538	1	0	1	
paranasal sinus disease, nasal disorder	http://www.ebi.ac.uk/efo/EFO_0009481, http://purl.obolibrary.org/obo/MONDO_0002436	1	0	1	
stroke, body mass index	http://www.ebi.ac.uk/efo/EFO_0000712, http://www.ebi.ac.uk/efo/EFO_0004340	1	0	1	
response to ropeginterferon alfa-2b	http://www.ebi.ac.uk/efo/EFO_0600013	1	0	1	
PP interval	http://www.ebi.ac.uk/efo/EFO_0600085	1	0	1	
hypertrophy	http://www.ebi.ac.uk/efo/EFO_0002460	1	0	1	
facial pain	http://www.ebi.ac.uk/efo/EFO_0009625	1	0	1	
Abnormality of higher mental function	http://purl.obolibrary.org/obo/HP_0011446	1	0	1	
uterine cervix neoplasm	http://purl.obolibrary.org/obo/MONDO_0021230	1	0	1	
smoking behavior, non-small cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0003060	1	0	1	
unipolar depression, schizophrenia, body mass index, obsolete_bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0003761, http://purl.obolibrary.org/obo/MONDO_0005090, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0000289	1	0	1	
Joint stiffness	http://purl.obolibrary.org/obo/HP_0001387	1	0	1	
Abnormality of taste sensation, response to antineoplastic agent	http://purl.obolibrary.org/obo/HP_0000223, http://purl.obolibrary.org/obo/GO_0097327	1	0	1	
response to sotalol, T wave amplitude	http://www.ebi.ac.uk/efo/EFO_0008325, http://www.ebi.ac.uk/efo/EFO_0008333	1	0	1	
Hepatic steatosis	http://purl.obolibrary.org/obo/HP_0001397	1	0	1	
X-linked dystonia-parkinsonism	http://purl.obolibrary.org/obo/MONDO_0010747	1	0	1	
smoking behavior, squamous cell lung carcinoma	http://www.ebi.ac.uk/efo/EFO_0004318, http://www.ebi.ac.uk/efo/EFO_0000708	1	0	1	
vulvovaginitis	http://www.ebi.ac.uk/efo/EFO_1001240	1	0	1	
anterior horn disorder	http://purl.obolibrary.org/obo/MONDO_0003182	1	0	1	
hearing loss, response to cranial radiation therapy	http://www.ebi.ac.uk/efo/EFO_0004238, http://www.ebi.ac.uk/efo/EFO_0010950	1	0	1	
response to trauma exposure, hippocampal volume	http://www.ebi.ac.uk/efo/EFO_0008483, http://www.ebi.ac.uk/efo/EFO_0005035	1	0	1	
articular cartilage disorder	http://purl.obolibrary.org/obo/MONDO_0003816	1	0	1	
musculoskeletal system disease, injury	http://www.ebi.ac.uk/efo/EFO_0009676, http://www.ebi.ac.uk/efo/EFO_0000546	1	0	1	
delayed encephalopathy after acute carbon monoxide poisoning	http://www.ebi.ac.uk/efo/EFO_0005534	1	0	1	
response to vincristine	http://www.ebi.ac.uk/efo/EFO_0006950	1	0	1	
brain neoplasm, overall survival	http://www.ebi.ac.uk/efo/EFO_0003833, http://www.ebi.ac.uk/efo/EFO_0000638	1	0	1	
Grade III Prostatic Intraepithelial Neoplasia	http://www.ebi.ac.uk/efo/EFO_1000283	1	0	1	
lung cancer, bronchus cancer	http://purl.obolibrary.org/obo/MONDO_0008903, http://purl.obolibrary.org/obo/MONDO_0001672	1	0	1	
response to trauma exposure, putamen volume	http://www.ebi.ac.uk/efo/EFO_0008483, http://www.ebi.ac.uk/efo/EFO_0006932	1	0	1	
response to escitalopram, response to citalopram, body mass index	http://www.ebi.ac.uk/efo/EFO_0007871, http://www.ebi.ac.uk/efo/EFO_0006329, http://www.ebi.ac.uk/efo/EFO_0004340	1	0	1	
Pick disease	http://www.ebi.ac.uk/efo/EFO_0003096	1	0	1	
follicular thyroid carcinoma	http://www.ebi.ac.uk/efo/EFO_0000501	1	0	1	
systolic blood pressure, blood pressure, response to losartan	http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0004325, http://www.ebi.ac.uk/efo/EFO_0006518	1	0	1	
Ear pain	http://purl.obolibrary.org/obo/HP_0030766	1	0	1	
response to stavudine, Lipoatrophy	http://www.ebi.ac.uk/efo/EFO_0006998, http://purl.obolibrary.org/obo/HP_0100578	1	0	1	
executive function	http://www.ebi.ac.uk/efo/EFO_0007046	1	0	1	
survival time, pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_0002618	1	0	1	
response to platinum based chemotherapy, drug-induced liver injury	http://www.ebi.ac.uk/efo/EFO_0004647, http://www.ebi.ac.uk/efo/EFO_0004228	1	0	1	
Darwin's tubercule	http://www.ebi.ac.uk/efo/EFO_0007674	1	0	1	
BMI-adjusted waist-hip ratio, age at assessment	http://www.ebi.ac.uk/efo/EFO_0007788, http://www.ebi.ac.uk/efo/EFO_0008007	1	0	1	
Hepatitis B virus core antigen seropositivity	http://www.ebi.ac.uk/efo/EFO_0009346	1	0	1	
breast carcinoma, femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0000305, http://www.ebi.ac.uk/efo/EFO_0007785	1	0	1	
Malignant Laryngeal Neoplasm	http://www.ebi.ac.uk/efo/EFO_1000354	1	0	1	
survival time, colorectal carcinoma	http://www.ebi.ac.uk/efo/EFO_0000714, http://www.ebi.ac.uk/efo/EFO_1001951	1	0	1	
age-related macular degeneration, response to anti-vascular endothelial growth factor drug	http://www.ebi.ac.uk/efo/EFO_0001365, http://www.ebi.ac.uk/efo/EFO_0009467	1	0	1	
tricuspid valve disease	http://www.ebi.ac.uk/efo/EFO_0009568	1	0	1	
body mass index, FEV/FEC ratio	http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004713	1	0	1	
Abnormality of the abdominal organs	http://purl.obolibrary.org/obo/HP_0002012	1	0	1	
device complication	http://www.ebi.ac.uk/efo/EFO_0009519	1	0	1	
Behavioral abnormality, response to anticonvulsant	http://purl.obolibrary.org/obo/HP_0000708, http://purl.obolibrary.org/obo/GO_0036277	1	0	1	
pleural empyema	http://www.ebi.ac.uk/efo/EFO_0009680	1	0	1	
lichen disease	http://www.ebi.ac.uk/efo/EFO_1000724	1	0	1	
response to lamotrigine, maculopapular eruption	http://www.ebi.ac.uk/efo/EFO_0007661, http://www.ebi.ac.uk/efo/EFO_1001253	1	0	1	
thyroid cancer	http://purl.obolibrary.org/obo/MONDO_0002108	1	0	1	
Influenza A seropositivity	http://www.ebi.ac.uk/efo/EFO_0007038	1	0	1	
E/A ratio	http://www.ebi.ac.uk/efo/EFO_0009291	1	0	1	
fracture of pelvis	http://www.ebi.ac.uk/efo/EFO_0009622	1	0	1	
Sasang constitutional medicine	http://www.ebi.ac.uk/efo/EFO_0004892	1	0	1	
response to 5' fluorouracil	http://purl.obolibrary.org/obo/GO_0036275	1	0	1	
Barrett's esophagus, gastroesophageal reflux disease	http://www.ebi.ac.uk/efo/EFO_0000280, http://www.ebi.ac.uk/efo/EFO_0003948	1	0	1	
small intestine carcinoma	http://www.ebi.ac.uk/efo/EFO_0005588	1	0	1	
CD3-positive T-lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0010106	1	0	1	
